conversation_id,tweet_id,anomaly_type,details
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9211 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9215 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9216 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9218 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9219 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9220 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9222 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9224 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9225 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9226 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9227 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9228 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9230 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9231 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9232 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9234 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9235 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9236 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9240 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9241 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9242 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9243 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9244 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9245 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9246 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9247 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9248 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9249 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9251 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9252 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9257 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9258 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9259 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9260 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9261 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9262 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9264 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9267 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9268 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9269 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9270 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9271 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9273 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9274 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9277 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9278 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9279 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9282 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9283 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9284 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9285 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9286 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9287 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9288 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9289 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9290 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9292 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9294 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9295 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9296 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9297 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9298 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9299 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9300 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9301 not present in dataset.
conv_AppleSupport_9200,9200,missing_child_tweet,Tweet 9200 lists response 9302 not present in dataset.
conv_AppleSupport_9200,9272,missing_child_tweet,Tweet 9272 lists response 13193 not present in dataset.
conv_AppleSupport_9200,9272,missing_child_tweet,Tweet 9272 lists response 13194 not present in dataset.
conv_AppleSupport_9200,9275,missing_child_tweet,Tweet 9275 lists response 33330 not present in dataset.
conv_AppleSupport_9200,9275,missing_child_tweet,Tweet 9275 lists response 33331 not present in dataset.
conv_AppleSupport_9200,9275,missing_child_tweet,Tweet 9275 lists response 33332 not present in dataset.
conv_AppleSupport_9200,9221,missing_child_tweet,Tweet 9221 lists response 34692 not present in dataset.
conv_AppleSupport_9200,9250,missing_child_tweet,Tweet 9250 lists response 1437529 not present in dataset.
conv_AppleSupport_9200,9250,missing_child_tweet,Tweet 9250 lists response 1437530 not present in dataset.
conv_AppleSupport_9200,9256,missing_child_tweet,Tweet 9256 lists response 1513409 not present in dataset.
conv_AppleSupport_9200,9213,missing_child_tweet,Tweet 9213 lists response 1973812 not present in dataset.
conv_AppleSupport_9200,9276,missing_child_tweet,Tweet 9276 lists response 1975203 not present in dataset.
conv_AppleSupport_9200,9204,missing_child_tweet,Tweet 9204 lists response 1980777 not present in dataset.
conv_AppleSupport_9200,38209,missing_child_tweet,Tweet 38209 lists response 38210 not present in dataset.
conv_AppleSupport_11096,11092,missing_child_tweet,Tweet 11092 lists response 11093 not present in dataset.
conv_AppleSupport_11096,11094,missing_child_tweet,Tweet 11094 lists response 11095 not present in dataset.
conv_AppleSupport_11096,11096,missing_child_tweet,Tweet 11096 lists response 11097 not present in dataset.
conv_AppleSupport_11633,11633,missing_child_tweet,Tweet 11633 lists response 11635 not present in dataset.
conv_AppleSupport_11633,11633,missing_child_tweet,Tweet 11633 lists response 11636 not present in dataset.
conv_AppleSupport_11651,11651,missing_parent_tweet,Tweet 11651 references parent 11653 which is not present in the dataset.
conv_AppleSupport_11651,11651,missing_child_tweet,Tweet 11651 lists response 11652 not present in dataset.
