conversation_id,message_count,thread_type,has_branching,has_anomalies,quality_status
conv_AppleSupport_2746104,9,branched,True,False,high
conv_AppleSupport_2746107,3,customer_brand_customer,False,False,high
conv_AppleSupport_2746111,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2746113,2,customer_brand,False,False,high
conv_AppleSupport_2746119,6,branched,True,False,high
conv_AppleSupport_2746121,2,customer_brand,False,False,high
conv_AppleSupport_2746124,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2746131,6,multi_turn,False,False,high
conv_AppleSupport_2746135,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2746139,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2746141,2,customer_brand,False,False,high
conv_AppleSupport_2746147,6,multi_turn,False,False,high
conv_AppleSupport_2746149,2,customer_brand,False,False,high
conv_AppleSupport_2746152,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2746155,2,customer_brand,False,False,high
conv_AppleSupport_2746160,6,branched,True,False,high
conv_AppleSupport_2746163,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2746166,2,customer_brand,False,False,high
conv_AppleSupport_2746168,2,customer_brand,False,False,high
conv_AppleSupport_2746170,2,customer_brand,False,False,high
conv_AppleSupport_2746172,2,customer_brand,False,False,high
conv_AppleSupport_2746174,2,customer_brand,False,False,high
conv_AppleSupport_2746180,3,multi_turn,False,False,high
conv_AppleSupport_2746184,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2746188,6,branched,True,False,high
conv_AppleSupport_2746192,2,customer_brand,False,False,high
conv_AppleSupport_2746194,2,customer_brand,False,False,high
conv_AppleSupport_2746196,4,branched,True,False,high
conv_AppleSupport_2746202,5,multi_turn,False,False,high
conv_AppleSupport_2746205,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747239,2,customer_brand,False,False,high
conv_AppleSupport_2747241,2,customer_brand,False,False,high
conv_AppleSupport_2747243,2,customer_brand,False,False,high
conv_AppleSupport_2747245,2,customer_brand,False,False,high
conv_AppleSupport_2747247,2,customer_brand,False,False,high
conv_AppleSupport_2747252,5,multi_turn,False,False,high
conv_AppleSupport_2747254,2,customer_brand,False,False,high
conv_AppleSupport_2747259,5,multi_turn,False,False,high
conv_AppleSupport_2747261,2,customer_brand,False,False,high
conv_AppleSupport_2747266,3,customer_brand_customer,False,False,high
conv_AppleSupport_2747268,2,customer_brand,False,False,high
conv_AppleSupport_2747273,5,multi_turn,False,False,high
conv_AppleSupport_2747277,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747281,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747283,2,customer_brand,False,False,high
conv_AppleSupport_2747286,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747290,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747295,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747301,6,multi_turn,False,False,high
conv_AppleSupport_2747304,3,customer_brand_customer,False,False,high
conv_AppleSupport_2747307,6,multi_turn,False,True,medium
conv_AppleSupport_2747315,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747322,6,branched,True,False,high
conv_AppleSupport_2747327,4,multi_turn,False,True,medium
conv_AppleSupport_2747330,3,customer_brand_customer,False,False,high
conv_AppleSupport_2747332,2,customer_brand,False,False,high
conv_AppleSupport_2747334,2,customer_brand,False,False,high
conv_AppleSupport_2747340,6,multi_turn,False,False,high
conv_AppleSupport_2747343,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747346,2,customer_brand,False,True,medium
conv_AppleSupport_2747349,2,customer_brand,False,False,high
conv_AppleSupport_2747351,2,customer_brand,False,False,high
conv_AppleSupport_2747353,2,customer_brand,False,False,high
conv_AppleSupport_2747361,8,multi_turn,False,False,high
conv_AppleSupport_2747364,3,customer_brand_customer,False,False,high
conv_AppleSupport_2747367,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747370,2,customer_brand,False,False,high
conv_AppleSupport_2747373,7,multi_turn,False,False,high
conv_AppleSupport_2747379,2,customer_brand,False,False,high
conv_AppleSupport_2747381,2,customer_brand,False,False,high
conv_AppleSupport_2747383,2,customer_brand,False,False,high
conv_AppleSupport_2747385,2,customer_brand,False,False,high
conv_AppleSupport_2747388,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2747391,2,customer_brand,False,False,high
conv_AppleSupport_2748357,6,branched,True,False,high
conv_AppleSupport_2748363,5,multi_turn,False,False,high
conv_AppleSupport_2748368,5,multi_turn,False,False,high
conv_AppleSupport_2748370,2,customer_brand,False,False,high
conv_AppleSupport_2748375,4,multi_turn,False,True,medium
conv_AppleSupport_2748380,5,multi_turn,False,False,high
conv_AppleSupport_2748384,6,multi_turn,False,False,high
conv_AppleSupport_2748389,2,customer_brand,False,False,high
conv_AppleSupport_2748392,5,multi_turn,False,False,high
conv_AppleSupport_2748397,3,customer_brand_customer,False,False,high
conv_AppleSupport_2748400,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2748407,6,multi_turn,False,False,high
conv_AppleSupport_2748409,2,customer_brand,False,False,high
conv_AppleSupport_2748411,2,customer_brand,False,False,high
conv_AppleSupport_2748414,3,customer_brand_customer,False,True,medium
conv_AppleSupport_2748418,2,customer_brand,False,False,high
conv_AppleSupport_2748420,2,customer_brand,False,False,high
conv_AppleSupport_2748424,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2748427,2,customer_brand,False,False,high
conv_AppleSupport_2748429,2,customer_brand,False,False,high
conv_AppleSupport_2748431,2,customer_brand,False,False,high
conv_AppleSupport_2748433,2,customer_brand,False,False,high
conv_AppleSupport_2748435,2,customer_brand,False,False,high
conv_AppleSupport_2748437,2,customer_brand,False,False,high
conv_AppleSupport_2748443,6,multi_turn,False,False,high
conv_AppleSupport_2748445,2,customer_brand,False,False,high
conv_AppleSupport_2748447,2,customer_brand,False,False,high
conv_AppleSupport_2748451,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2749336,2,customer_brand,False,False,high
conv_AppleSupport_2749341,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2749344,3,multi_turn,False,False,high
conv_AppleSupport_2749346,2,customer_brand,False,False,high
conv_AppleSupport_2749349,3,multi_turn,False,False,high
conv_AppleSupport_2749352,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2749355,2,customer_brand,False,False,high
conv_AppleSupport_2749357,2,customer_brand,False,False,high
conv_AppleSupport_2749359,2,customer_brand,False,False,high
conv_AppleSupport_2749362,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2749366,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2749370,4,multi_turn,False,False,high
conv_AppleSupport_2749373,2,customer_brand,False,False,high
conv_AppleSupport_2749375,2,customer_brand,False,False,high
conv_AppleSupport_2749377,2,customer_brand,False,False,high
conv_AppleSupport_2749380,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2750426,8,multi_turn,False,False,high
conv_AppleSupport_2750429,5,branched,True,True,medium
conv_AppleSupport_2750436,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2750439,5,multi_turn,False,True,medium
conv_AppleSupport_2750445,7,branched,True,False,high
conv_AppleSupport_2750451,2,customer_brand,False,False,high
conv_AppleSupport_2750454,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2750462,7,multi_turn,False,False,high
conv_AppleSupport_2750465,3,customer_brand_customer,False,False,high
conv_AppleSupport_2750467,2,customer_brand,False,False,high
conv_AppleSupport_2750469,2,customer_brand,False,False,high
conv_AppleSupport_2750471,2,customer_brand,False,False,high
conv_AppleSupport_2750473,2,customer_brand,False,False,high
conv_AppleSupport_2750478,7,branched,True,False,high
conv_AppleSupport_2750483,6,multi_turn,False,False,high
conv_AppleSupport_2750488,2,customer_brand,False,False,high
conv_AppleSupport_2750490,2,customer_brand,False,False,high
conv_AppleSupport_2750493,6,multi_turn,False,False,high
conv_AppleSupport_2750499,3,customer_brand_customer,False,False,high
conv_AppleSupport_2750503,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2750507,4,customer_brand_customer_brand,False,True,medium
conv_AppleSupport_2750510,2,customer_brand,False,False,high
conv_AppleSupport_2750512,2,customer_brand,False,False,high
conv_AppleSupport_2750515,6,multi_turn,False,False,high
conv_AppleSupport_2750520,2,customer_brand,False,False,high
conv_AppleSupport_2750523,7,multi_turn,False,False,high
conv_AppleSupport_2750532,5,branched,True,False,high
conv_AppleSupport_2750534,2,customer_brand,False,False,high
conv_AppleSupport_2751103,2,customer_brand,False,False,high
conv_AppleSupport_2751106,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2751109,2,customer_brand,False,False,high
conv_AppleSupport_2751112,3,customer_brand_customer,False,False,high
conv_AppleSupport_2751115,6,multi_turn,False,False,high
conv_AppleSupport_2751120,2,customer_brand,False,False,high
conv_AppleSupport_2751124,5,branched,True,False,high
conv_AppleSupport_2751127,2,customer_brand,False,False,high
conv_AppleSupport_2751129,2,customer_brand,False,False,high
conv_AppleSupport_2751131,2,customer_brand,False,False,high
conv_AppleSupport_2751134,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2751137,2,customer_brand,False,False,high
conv_AppleSupport_2751140,2,customer_brand,False,False,high
conv_AppleSupport_2751142,2,customer_brand,False,False,high
conv_AppleSupport_2751144,2,customer_brand,False,False,high
conv_AppleSupport_2751146,2,customer_brand,False,False,high
conv_AppleSupport_2751148,2,customer_brand,False,False,high
conv_AppleSupport_2751150,2,customer_brand,False,True,medium
conv_AppleSupport_2751156,4,multi_turn,False,False,high
conv_AppleSupport_2751158,2,customer_brand,False,False,high
conv_AppleSupport_2751160,2,customer_brand,False,False,high
conv_AppleSupport_2751162,2,customer_brand,False,False,high
conv_AppleSupport_2751460,12,branched,True,False,high
conv_AppleSupport_2751466,6,multi_turn,False,False,high
conv_AppleSupport_2751473,7,branched,True,True,medium
conv_AppleSupport_2751476,2,customer_brand,False,False,high
conv_AppleSupport_2751479,3,customer_brand_customer,False,False,high
conv_AppleSupport_2751484,6,branched,True,False,high
conv_AppleSupport_2751488,4,customer_brand_customer_brand,False,True,medium
conv_AppleSupport_2751493,3,customer_brand_customer,False,True,medium
conv_AppleSupport_2751496,2,customer_brand,False,False,high
conv_AppleSupport_2751499,4,customer_brand_customer_brand,False,False,high
conv_AppleSupport_2751503,3,customer_brand_customer,False,False,high
conv_AppleSupport_2751506,3,multi_turn,False,False,high
